title,genre,platform,pc_dummy,post,did,min_ram_gb,rec_ram_gb,year,period
FIFA 17,Sports,Console,0,0,0,16.0,16.0,2020,pre_ai
FIFA 17,Sports,PC,1,0,0,8.0,8.0,2020,pre_ai
FIFA 18,Sports,Console,0,0,0,16.0,16.0,2017,pre_ai
FIFA 18,Sports,PC,1,0,0,8.0,16.0,2017,pre_ai
FIFA 19,Sports,Console,0,0,0,16.0,16.0,2018,pre_ai
FIFA 19,Sports,PC,1,0,0,8.0,16.0,2018,pre_ai
FIFA 21,Sports,Console,0,0,0,16.0,16.0,2020,pre_ai
FIFA 21,Sports,PC,1,0,0,8.0,4.0,2020,pre_ai
FIFA 24,Sports,Console,0,1,0,16.0,16.0,2023,ai_intensive
FIFA 24,Sports,PC,1,1,1,8.0,12.0,2023,ai_intensive
Fallout 4,Action-RPG,Console,0,0,0,16.0,16.0,2015,pre_ai
Fallout 4,Action-RPG,PC,1,0,0,8.0,8.0,2015,pre_ai
Far Cry 5,FPS,Console,0,0,0,16.0,16.0,2018,pre_ai
Far Cry 5,FPS,PC,1,0,0,8.0,8.0,2018,pre_ai
Far Cry 6,FPS,Console,0,0,0,16.0,16.0,2021,pre_ai
Far Cry 6,FPS,PC,1,0,0,8.0,16.0,2021,pre_ai
Fifa 22,Sports,Console,0,0,0,16.0,16.0,2021,pre_ai
Fifa 22,Sports,PC,1,0,0,8.0,,2021,pre_ai
Forza Horizon 5,Sports,Console,0,0,0,16.0,16.0,2021,pre_ai
Forza Horizon 5,Sports,PC,1,0,0,8.0,16.0,2021,pre_ai
Halo Infinite,FPS,Console,0,0,0,16.0,16.0,2021,pre_ai
Halo Infinite,FPS,PC,1,0,0,8.0,16.0,2021,pre_ai
Hogwarts Legacy,Action-RPG,Console,0,1,0,16.0,16.0,2023,ai_intensive
Hogwarts Legacy,Action-RPG,PC,1,1,1,16.0,16.0,2023,ai_intensive
Just Cause 3,Action-Adventure,Console,0,0,0,16.0,16.0,2015,pre_ai
Just Cause 3,Action-Adventure,PC,1,0,0,8.0,8.0,2015,pre_ai
Mafia Definitive Edition,Action-Adventure,Console,0,0,0,16.0,16.0,2020,pre_ai
Mafia Definitive Edition,Action-Adventure,PC,1,0,0,6.0,16.0,2020,pre_ai
Mafia III,Action-Adventure,Console,0,0,0,16.0,16.0,2016,pre_ai
Mafia III,Action-Adventure,PC,1,0,0,6.0,8.0,2016,pre_ai
Metal Gear Solid V,Action-Adventure,Console,0,0,0,16.0,16.0,2015,pre_ai
Metal Gear Solid V,Action-Adventure,PC,1,0,0,4.0,8.0,2015,pre_ai
Middle Earth Shadow of War,Action-RPG,Console,0,0,0,16.0,16.0,2017,pre_ai
Middle Earth Shadow of War,Action-RPG,PC,1,0,0,6.0,12.0,2017,pre_ai
Monster Hunter Wilds,Action-RPG,Console,0,1,0,16.0,16.0,2025,ai_intensive
Monster Hunter Wilds,Action-RPG,PC,1,1,1,16.0,16.0,2025,ai_intensive
Monster Hunter World,Action-RPG,Console,0,0,0,16.0,16.0,2018,pre_ai
Monster Hunter World,Action-RPG,PC,1,0,0,8.0,8.0,2018,pre_ai
NBA 2K16,Sports,Console,0,0,0,16.0,16.0,2015,pre_ai
NBA 2K16,Sports,PC,1,0,0,4.0,,2015,pre_ai
NBA 2K17,Sports,Console,0,0,0,16.0,16.0,2016,pre_ai
NBA 2K17,Sports,PC,1,0,0,4.0,8.0,2016,pre_ai
NBA 2K18,Sports,Console,0,0,0,16.0,16.0,2017,pre_ai
NBA 2K18,Sports,PC,1,0,0,4.0,8.0,2017,pre_ai
NBA 2K19,Sports,Console,0,0,0,16.0,16.0,2018,pre_ai
NBA 2K19,Sports,PC,1,0,0,4.0,8.0,2018,pre_ai
NBA 2K22,Sports,Console,0,0,0,16.0,16.0,2021,pre_ai
NBA 2K22,Sports,PC,1,0,0,4.0,8.0,2021,pre_ai
NBA 2K24,Sports,Console,0,1,0,16.0,16.0,2023,ai_intensive
NBA 2K24,Sports,PC,1,1,1,6.0,8.0,2023,ai_intensive
NBA 2K25,Sports,Console,0,1,0,16.0,16.0,2024,ai_intensive
NBA 2K25,Sports,PC,1,1,1,16.0,16.0,2024,ai_intensive
Need for Speed Payback,Sports,Console,0,0,0,16.0,16.0,2017,pre_ai
Need for Speed Payback,Sports,PC,1,0,0,6.0,8.0,2017,pre_ai
Rainbow Six Siege,FPS,Console,0,0,0,16.0,16.0,2015,pre_ai
Rainbow Six Siege,FPS,PC,1,0,0,8.0,8.0,2015,pre_ai
Red Dead Redemption 2,Action-Adventure,Console,0,0,0,16.0,16.0,2019,pre_ai
Red Dead Redemption 2,Action-Adventure,PC,1,0,0,8.0,12.0,2019,pre_ai
Resident Evil 3,Action-Adventure,Console,0,0,0,16.0,16.0,2020,pre_ai
Resident Evil 3,Action-Adventure,PC,1,0,0,8.0,8.0,2020,pre_ai
Resident Evil 4 Remake,Action-Adventure,Console,0,1,0,16.0,16.0,2023,ai_intensive
Resident Evil 4 Remake,Action-Adventure,PC,1,1,1,8.0,16.0,2023,ai_intensive
Resident Evil Village,Action-Adventure,Console,0,0,0,16.0,16.0,2021,pre_ai
Resident Evil Village,Action-Adventure,PC,1,0,0,8.0,16.0,2021,pre_ai
Shadow of the Tomb Raider,Action-Adventure,Console,0,0,0,16.0,16.0,2018,pre_ai
Shadow of the Tomb Raider,Action-Adventure,PC,1,0,0,8.0,16.0,2018,pre_ai
Star Wars Outlaws,Action-Adventure,Console,0,1,0,16.0,16.0,2024,ai_intensive
Star Wars Outlaws,Action-Adventure,PC,1,1,1,16.0,6.0,2024,ai_intensive
The Last of Us Part I,Action-Adventure,Console,0,1,0,16.0,16.0,2023,ai_intensive
The Last of Us Part I,Action-Adventure,PC,1,1,1,16.0,16.0,2023,ai_intensive
The Witcher 3,Action-RPG,Console,0,0,0,16.0,16.0,2015,pre_ai
The Witcher 3,Action-RPG,PC,1,0,0,6.0,8.0,2015,pre_ai
Watch Dogs 2,Action-Adventure,Console,0,0,0,16.0,16.0,2016,pre_ai
Watch Dogs 2,Action-Adventure,PC,1,0,0,6.0,8.0,2016,pre_ai
Watch Dogs Legion,Action-Adventure,Console,0,0,0,16.0,16.0,2020,pre_ai
Watch Dogs Legion,Action-Adventure,PC,1,0,0,4.0,8.0,2020,pre_ai
Wolfenstein II,FPS,Console,0,0,0,16.0,16.0,2017,pre_ai
Wolfenstein II,FPS,PC,1,0,0,8.0,16.0,2017,pre_ai
