title,genre,year,release_date,min_ram_gb,rec_ram_gb,post,time_index,time_since_break,period
Baldur's Gate 3,Action-RPG,2023,"3 Aug, 2023",8.0,16.0,1,8,1,ai_intensive
The Last of Us Part I,Action-Adventure,2023,"28 Mar, 2023",16.0,16.0,1,8,1,ai_intensive
F1 23,Sports,2023,"15 Jun, 2023",8.0,16.0,1,8,1,ai_intensive
Resident Evil 4 Remake,Action-Adventure,2023,"23 Mar, 2023",8.0,16.0,1,8,1,ai_intensive
NBA 2K24,Sports,2023,"7 Sep, 2023",6.0,8.0,1,8,1,ai_intensive
FIFA 24,Sports,2023,"28 Sep, 2023",8.0,12.0,1,8,1,ai_intensive
Call of Duty MW3 2023,FPS,2023,"10 Nov, 2023",8.0,16.0,1,8,1,ai_intensive
Assassin's Creed Mirage,Action-Adventure,2023,5 Oct 2023,8.0,16.0,1,8,1,ai_intensive
NBA 2K25,Sports,2024,"5 Dec, 2024",16.0,16.0,1,9,2,ai_intensive
Alan Wake 2,Action-Adventure,2024,"19 Dec, 2024",16.0,24.0,1,9,2,ai_intensive
F1 24,Sports,2024,31 May 2024,8.0,16.0,1,9,2,ai_intensive
Black Myth: Wukong,Action-RPG,2024,"19 Aug, 2024",16.0,16.0,1,9,2,ai_intensive
Star Wars Outlaws,Action-Adventure,2024,"30 Jan, 2024",16.0,6.0,1,9,2,ai_intensive
Monster Hunter Wilds,Action-RPG,2025,"27 Feb, 2025",16.0,16.0,1,10,3,ai_intensive
FF7 Rebirth,Action-RPG,2025,"23 Jan, 2025",16.0,16.0,1,10,3,ai_intensive
Assassin's Creed Shadows,Action-Adventure,2025,20 Mar 2025,8.0,12.0,1,10,3,ai_intensive
